SIZE 12 12
TIME 25

RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR
RRRR BBBB RRRR BBBB BBBB BBBB BBBB BBBB RRRR BBBB BBBB BBBB
RRRR BBBB BBBB BBBB RRRR BBBB RRRR RRRR RRRR RRRR RRRR RRRR
RRRR RRRR RRRR RRRR RRRR BBBB BBBB RRRR BBBB RRRR BBBB RRRR
RRRR BBBB BBBB BBBB RRRR RRRR BBBB RRRR BBBB RRRR BBBB RRRR
RRRR BBBB RRRR BBBB RRRR BBBB BBBB RRRR BBBB RRRR BBBB BBBB
RRRR BBBB RRRR BBBB RRRR BBBB BBBB BBBB BBBB RRRR RRRR RRRR
BBBB BBBB RRRR BBBB RRRR RRRR BBBB BBRR BBBB RRRR BBBB RRRR
BBBB BBBB BBBB BBBB BBBB RRRR BBBB BBBB BBBB RRRR BBBB RRRR
RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR
RRRR BBBB BBBB BBBB BBBB RRRR RRBB RRRR RRRR BBBB BBBB RRRR
RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR RRRR

PLAYER 6 11
SMART 2 12 UP

LOOT 2 2 RUBY
LOOT 3 2 DIAMOND
LOOT 4 2 DOLLAR
LOOT 8 2 RUBY
LOOT 6 3 RUBY
LOOT 8 5 DOLLAR
LOOT 10 7 DOLLAR
LOOT 3 6 CENT
LOOT 10 9 CENT
LOOT 3 7 DOLLAR
LOOT 5 7 RUBY
LOOT 7 7 DOLLAR
LOOT 3 8 RUBY
LOOT 9 8 CENT
LOOT 11 8 DIAMOND
LOOT 6 9 RUBY
LOOT 8 9 CENT
GATE 10 6 R
DOOR 10 5
